CMDLINE ./runbudack.sh
MEM 3.492188 1636587804.1933
CHLD 0 20.031250 1636587804.1968
CHLD 1 37.878906 1636587804.1968
CHLD 2 37.652344 1636587804.1968
CHLD 3 37.750000 1636587804.1968
CHLD 4 37.570312 1636587804.1969
MEM 3.492188 1636587804.2971
CHLD 0 20.031250 1636587804.2999
CHLD 1 37.878906 1636587804.2999
CHLD 2 37.652344 1636587804.3000
CHLD 3 37.750000 1636587804.3000
CHLD 4 37.699219 1636587804.3000
MEM 3.492188 1636587804.4003
CHLD 0 20.031250 1636587804.4030
CHLD 1 37.878906 1636587804.4030
CHLD 2 37.652344 1636587804.4031
CHLD 3 37.878906 1636587804.4031
CHLD 4 37.699219 1636587804.4031
MEM 3.492188 1636587804.5034
CHLD 0 20.031250 1636587804.5077
CHLD 1 37.878906 1636587804.5078
CHLD 2 37.781250 1636587804.5078
CHLD 3 37.878906 1636587804.5078
CHLD 4 37.699219 1636587804.5078
MEM 3.492188 1636587804.6082
CHLD 0 20.031250 1636587804.6113
CHLD 1 38.007812 1636587804.6113
CHLD 2 37.781250 1636587804.6113
CHLD 3 37.878906 1636587804.6113
CHLD 4 37.828125 1636587804.6114
MEM 3.492188 1636587804.7116
CHLD 0 20.031250 1636587804.7148
CHLD 1 38.007812 1636587804.7148
CHLD 2 37.781250 1636587804.7148
CHLD 3 37.878906 1636587804.7148
CHLD 4 37.828125 1636587804.7149
MEM 3.492188 1636587804.8151
CHLD 0 20.031250 1636587804.8178
CHLD 1 38.007812 1636587804.8179
CHLD 2 37.781250 1636587804.8179
CHLD 3 37.878906 1636587804.8179
CHLD 4 37.828125 1636587804.8179
MEM 3.492188 1636587804.9182
CHLD 0 20.031250 1636587804.9211
CHLD 1 38.007812 1636587804.9211
CHLD 2 37.781250 1636587804.9211
CHLD 3 37.878906 1636587804.9211
CHLD 4 37.828125 1636587804.9212
MEM 3.492188 1636587805.0214
CHLD 0 20.031250 1636587805.0245
CHLD 1 38.007812 1636587805.0245
CHLD 2 37.910156 1636587805.0245
CHLD 3 38.007812 1636587805.0246
CHLD 4 37.828125 1636587805.0246
MEM 3.492188 1636587805.1250
CHLD 0 20.031250 1636587805.1277
CHLD 1 38.007812 1636587805.1277
CHLD 2 37.910156 1636587805.1277
CHLD 3 38.007812 1636587805.1277
CHLD 4 37.828125 1636587805.1277
MEM 3.492188 1636587805.2291
CHLD 0 20.031250 1636587805.2320
CHLD 1 38.136719 1636587805.2320
CHLD 2 37.910156 1636587805.2321
CHLD 3 38.007812 1636587805.2321
CHLD 4 37.957031 1636587805.2321
MEM 3.492188 1636587805.3324
CHLD 0 20.031250 1636587805.3358
CHLD 1 38.136719 1636587805.3358
CHLD 2 37.910156 1636587805.3358
CHLD 3 38.007812 1636587805.3358
CHLD 4 37.957031 1636587805.3359
MEM 3.492188 1636587805.4361
CHLD 0 20.031250 1636587805.4399
CHLD 1 38.136719 1636587805.4399
CHLD 2 37.910156 1636587805.4400
CHLD 3 38.007812 1636587805.4400
CHLD 4 37.957031 1636587805.4400
MEM 3.492188 1636587805.5403
CHLD 0 20.031250 1636587805.5439
CHLD 1 38.136719 1636587805.5440
CHLD 2 37.910156 1636587805.5440
CHLD 3 38.007812 1636587805.5440
CHLD 4 37.957031 1636587805.5440
MEM 3.492188 1636587805.6443
CHLD 0 20.031250 1636587805.6482
CHLD 1 38.136719 1636587805.6482
CHLD 2 37.910156 1636587805.6482
CHLD 3 38.007812 1636587805.6482
CHLD 4 37.957031 1636587805.6483
MEM 3.492188 1636587805.7485
CHLD 0 20.031250 1636587805.7512
CHLD 1 38.136719 1636587805.7513
CHLD 2 37.910156 1636587805.7513
CHLD 3 38.007812 1636587805.7513
CHLD 4 37.957031 1636587805.7513
MEM 3.492188 1636587805.8516
CHLD 0 20.031250 1636587805.8545
CHLD 1 38.136719 1636587805.8545
CHLD 2 37.910156 1636587805.8545
CHLD 3 38.136719 1636587805.8546
CHLD 4 37.957031 1636587805.8546
MEM 3.492188 1636587805.9548
CHLD 0 20.031250 1636587805.9578
CHLD 1 38.265625 1636587805.9578
CHLD 2 37.843750 1636587805.9578
CHLD 3 38.136719 1636587805.9578
CHLD 4 37.957031 1636587805.9579
MEM 3.492188 1636587806.0581
CHLD 0 20.031250 1636587806.0615
CHLD 1 38.265625 1636587806.0616
CHLD 2 37.843750 1636587806.0616
CHLD 3 38.136719 1636587806.0616
